"","TB_USCH","TB_USJP","TB_USUK","M3_USCH","M3_USJP","M3_USUK","UN_USCH","UN_USJP","UN_USUK","M1_USCH","M1_USJP","M1_USUK","CPI_USCH","CPI_USJP","CPI_USUK","T_USCH","T_USJP","T_USUK","EX_UKUS","EX_JPUS","EX_CHUS"
"1993-10-01",3.85236301369863,3.00477854606616,-4.4915,2.74898292312672,-0.661526309704236,1.70756501944562,1.71002428727208,3.70134420327208,-2.99865579672792,-18.2293167002225,-20.9705793669098,-19.4341212684033,-26.7022715346396,-36.1276161625538,-2.5276161625538,0.942862406569102,0.999769783330092,0.854295805559435,-0.406997267086241,4.67301573288316,0.366862870326222
"1993-11-01",3.75555555555556,3.08489939884961,-4.022648,2.78190261368483,-0.639307188940855,1.71965722434833,1.36173302781926,3.63984285181926,-3.06015714818074,-18.1984760416667,-20.9486664882017,-19.4301805420343,-26.541313940559,-35.5854250960902,-2.28542509609019,0.81536954447174,0.786897572437544,0.728642395190761,-0.392582482277151,4.68098705428954,0.403396302939053
"1993-12-01",3.33469696969697,3.04517918717531,-4.232457,2.75644675022957,-0.643720626127532,1.70849446602691,1.12762702937421,3.51880480237421,-3.18119519762579,-18.2091263655609,-21.0145927652421,-19.4240434845512,-26.6513344812051,-35.6854250960902,-2.4854250960902,0.505251760473006,0.853259762101839,0.523365566034194,-0.3996482227866,4.6996891437679,0.380762495467793
"1994-01-01",3.30571715391613,2.96538246523961,-4.257655,2.74877619259872,-0.614909159507057,1.70798845453629,2.23006031917998,4.52558089517998,-2.37441910482002,-18.20926005437,-20.9671815454955,-19.4424315281263,-26.5857331071218,-35.6166608302358,-2.3166608302358,0.66694817963998,0.638367976639404,0.521559247912605,-0.400318553955285,4.7134997895389,0.386350244248482
"1994-02-01",3.34970870072965,3.23467560542647,-3.717032,2.72266204257921,-0.671796805205027,1.70174152581802,2.05070914639593,4.12455491439593,-2.47544508560407,-18.2363026569157,-21.0019355156692,-19.458797021653,-26.7330650819667,-35.4057054979179,-2.30570549791791,0.690091892811551,0.8767071801004,0.61319340877352,-0.391501401090778,4.66627563336586,0.376036297417352
"1994-03-01",3.28720149253731,3.48450009229534,-3.855067,2.70678350864405,-0.693652057531107,1.68482104571278,1.9019906073866,3.6309603003866,-2.5690396996134,-18.238826661017,-21.051456924139,-19.482172479486,-26.5236005428825,-35.5947501656,-2.29475016560001,0.603153711206998,0.951820616355653,0.488405863431587,-0.400050475406666,4.65488753923247,0.357114847167118
"1994-04-01",2.9975,3.66425848172138,-3.509155,2.71283146850538,-0.709235284958513,1.70192691054086,1.40658821207097,3.30757989707097,-2.99242010292903,-18.2100718235921,-21.0626188747537,-19.44703471435,-26.4854330001996,-35.7103680326728,-2.7103680326728,0.694729769487151,0.894365480898268,0.649438704235466,-0.393594935537677,4.63941991037795,0.363461860627706
"1994-05-01",3.18882352941176,4.12429929457665,-3.08016,2.69173044036541,-0.700259108005646,1.67210953427763,1.14591431438676,2.92312489638676,-3.07687510361324,-18.2502819488586,-21.072918250139,-19.4925129147026,-25.8928410718588,-35.7681769662092,-2.86817696620919,0.760291894852438,0.733004225464396,0.636512756448852,-0.408261195410166,4.64201596583388,0.345361184038459
"1994-06-01",3.28379907648338,4.12411140935408,-3.41469,2.67104407992693,-0.723589056175815,1.65990406964573,1.67722826910536,3.52212588110536,-2.47787411889464,-18.2782871074276,-21.0537183223821,-19.4884911422829,-25.8206288964892,-35.1572216338912,-2.6572216338912,0.953305503151565,1.07115832052614,0.878831288129454,-0.422780985873396,4.63012032639094,0.316779603275477
"1994-07-01",3.29385714285714,4.31345268931891,-4.33152,2.65066539862207,-0.766089276597629,1.65088620299471,1.70262960658412,3.38037672958412,-2.71962327041588,-18.275245032598,-21.1144687959107,-19.4945936879427,-25.6365591534357,-34.5884573680369,-2.08845736803691,1.11048119057508,1.18677951397807,1.01169380602059,-0.436123629061957,4.5894980165938,0.280581925961474
